 YR ,MON,TOTAL,CLIMADJUST,ANOM
1985,1,25.39,26.57,-1.17
1985,2,26.04,26.75,-0.71
1985,3,26.5,27.17,-0.67
1985,4,26.65,27.59,-0.93
1985,5,26.91,27.66,-0.75
1985,6,26.81,27.46,-0.65
1985,7,26.55,27.02,-0.47
1985,8,26.29,26.64,-0.35
1985,9,26.02,26.56,-0.55
1985,10,26.23,26.53,-0.3
1985,11,26.33,26.52,-0.2
1985,12,26.19,26.51,-0.32
1986,1,25.89,26.46,-0.56
1986,2,26.06,26.66,-0.6
1986,3,26.88,27.14,-0.26
1986,4,27.49,27.58,-0.08
1986,5,27.41,27.68,-0.27
1986,6,27.42,27.43,-0.01
1986,7,27.18,27.01,0.17
1986,8,27.17,26.66,0.51
1986,9,27.24,26.59,0.65
1986,10,27.51,26.54,0.98
1986,11,27.7,26.5,1.2
1986,12,27.71,26.47,1.24
1987,1,27.68,26.46,1.22
1987,2,27.89,26.66,1.23
1987,3,28.27,27.14,1.13
1987,4,28.4,27.58,0.82
1987,5,28.56,27.68,0.88
1987,6,28.64,27.43,1.21
1987,7,28.58,27.01,1.57
1987,8,28.41,26.66,1.76
1987,9,28.36,26.59,1.77
1987,10,27.95,26.54,1.42
1987,11,27.77,26.5,1.27
1987,12,27.54,26.47,1.07
1988,1,27.45,26.46,0.99
1988,2,27.04,26.66,0.37
1988,3,27.39,27.14,0.25
1988,4,27.38,27.58,-0.19
1988,5,26.68,27.68,-1
1988,6,25.99,27.43,-1.44
1988,7,25.56,27.01,-1.45
1988,8,25.67,26.66,-0.99
1988,9,25.72,26.59,-0.87
1988,10,24.82,26.54,-1.71
1988,11,24.66,26.5,-1.85
1988,12,24.64,26.47,-1.83
1989,1,24.59,26.46,-1.87
1989,2,25.29,26.66,-1.37
1989,3,26.09,27.14,-1.05
1989,4,26.75,27.58,-0.82
1989,5,27.07,27.68,-0.61
1989,6,27.14,27.43,-0.29
1989,7,26.71,27.01,-0.3
1989,8,26.32,26.66,-0.33
1989,9,26.41,26.59,-0.18
1989,10,26.32,26.54,-0.22
1989,11,26.25,26.5,-0.25
1989,12,26.46,26.47,-0.01
1990,1,26.56,26.46,0.11
1990,2,26.98,26.66,0.31
1990,3,27.34,27.14,0.2
1990,4,27.9,27.58,0.33
1990,5,28.02,27.68,0.34
1990,6,27.65,27.43,0.21
1990,7,27.38,27.01,0.37
1990,8,27.07,26.66,0.42
1990,9,26.94,26.59,0.35
1990,10,26.93,26.54,0.4
1990,11,26.81,26.5,0.31
1990,12,26.96,26.47,0.48
1991,1,27.04,26.59,0.45
1991,2,27.08,26.79,0.29
1991,3,27.33,27.28,0.05
1991,4,28.02,27.7,0.32
1991,5,28.2,27.8,0.4
1991,6,28.25,27.6,0.65
1991,7,28.05,27.19,0.86
1991,8,27.53,26.84,0.69
1991,9,27.14,26.78,0.36
1991,10,27.58,26.76,0.82
1991,11,27.89,26.7,1.19
1991,12,28.28,26.66,1.62
1992,1,28.37,26.59,1.78
1992,2,28.53,26.79,1.74
1992,3,28.66,27.28,1.38
1992,4,29.02,27.7,1.32
1992,5,28.97,27.8,1.16
1992,6,28.3,27.6,0.7
1992,7,27.51,27.19,0.33
1992,8,26.91,26.84,0.07
1992,9,26.66,26.78,-0.13
1992,10,26.42,26.76,-0.34
1992,11,26.42,26.7,-0.28
1992,12,26.45,26.66,-0.21
1993,1,26.7,26.59,0.1
1993,2,27.17,26.79,0.38
1993,3,27.68,27.28,0.4
1993,4,28.41,27.7,0.71
1993,5,28.71,27.8,0.91
1993,6,28.08,27.6,0.48
1993,7,27.52,27.19,0.33
1993,8,26.99,26.84,0.15
1993,9,27.07,26.78,0.29
1993,10,26.78,26.76,0.02
1993,11,26.71,26.7,0.01
1993,12,26.76,26.66,0.1
1994,1,26.65,26.59,0.06
1994,2,26.82,26.79,0.03
1994,3,27.39,27.28,0.11
1994,4,28.08,27.7,0.38
1994,5,28.24,27.8,0.43
1994,6,28.04,27.6,0.44
1994,7,27.54,27.19,0.35
1994,8,27.38,26.84,0.54
1994,9,27.19,26.78,0.41
1994,10,27.47,26.76,0.71
1994,11,27.81,26.7,1.11
1994,12,27.85,26.66,1.19
1995,1,27.57,26.59,0.98
1995,2,27.49,26.79,0.71
1995,3,27.76,27.28,0.48
1995,4,28.11,27.7,0.41
1995,5,27.83,27.8,0.02
1995,6,27.59,27.6,-0.01
1995,7,27.08,27.19,-0.11
1995,8,26.23,26.84,-0.61
1995,9,25.88,26.78,-0.9
1995,10,25.84,26.76,-0.92
1995,11,25.61,26.7,-1.1
1995,12,25.66,26.66,-1
1996,1,25.7,26.56,-0.86
1996,2,25.91,26.75,-0.85
1996,3,26.69,27.24,-0.56
1996,4,27.36,27.72,-0.36
1996,5,27.55,27.81,-0.26
1996,6,27.29,27.59,-0.3
1996,7,26.85,27.18,-0.32
1996,8,26.64,26.83,-0.2
1996,9,26.27,26.73,-0.45
1996,10,26.27,26.67,-0.4
1996,11,26.29,26.63,-0.34
1996,12,25.96,26.56,-0.61
1997,1,26.02,26.56,-0.54
1997,2,26.39,26.75,-0.36
1997,3,27.05,27.24,-0.2
1997,4,27.99,27.72,0.27
1997,5,28.58,27.81,0.76
1997,6,28.81,27.59,1.22
1997,7,28.85,27.18,1.67
1997,8,28.74,26.83,1.91
1997,9,28.84,26.73,2.12
1997,10,29.07,26.67,2.4
1997,11,29.11,26.63,2.48
1997,12,28.89,26.56,2.32
1998,1,28.93,26.56,2.37
1998,2,28.79,26.75,2.03
1998,3,28.63,27.24,1.38
1998,4,28.61,27.72,0.9
1998,5,28.52,27.81,0.7
1998,6,27.35,27.59,-0.24
1998,7,26.32,27.18,-0.86
1998,8,25.59,26.83,-1.25
1998,9,25.47,26.73,-1.26
1998,10,25.26,26.67,-1.41
1998,11,25.25,26.63,-1.38
1998,12,24.92,26.56,-1.64
1999,1,24.87,26.56,-1.69
1999,2,25.44,26.75,-1.31
1999,3,26.34,27.24,-0.9
1999,4,26.71,27.72,-1
1999,5,26.79,27.81,-1.02
1999,6,26.54,27.59,-1.05
1999,7,26.13,27.18,-1.05
1999,8,25.64,26.83,-1.19
1999,9,25.63,26.73,-1.09
1999,10,25.48,26.67,-1.19
1999,11,25.13,26.63,-1.5
1999,12,24.87,26.56,-1.7
2000,1,24.79,26.56,-1.77
2000,2,25.23,26.75,-1.53
2000,3,26.31,27.24,-0.93
2000,4,26.96,27.72,-0.75
2000,5,27.08,27.81,-0.74
2000,6,26.95,27.59,-0.64
2000,7,26.63,27.18,-0.55
2000,8,26.37,26.83,-0.47
2000,9,26.2,26.73,-0.52
2000,10,26.02,26.67,-0.65
2000,11,25.92,26.63,-0.71
2000,12,25.69,26.56,-0.88
2001,1,25.82,26.45,-0.63
2001,2,26.14,26.66,-0.53
2001,3,26.82,27.21,-0.39
2001,4,27.34,27.73,-0.39
2001,5,27.6,27.85,-0.24
2001,6,27.54,27.65,-0.11
2001,7,27.25,27.26,-0.01
2001,8,26.8,26.91,-0.1
2001,9,26.52,26.8,-0.28
2001,10,26.57,26.75,-0.18
2001,11,26.34,26.75,-0.41
2001,12,26.2,26.65,-0.46
2002,1,26.4,26.45,-0.05
2002,2,26.72,26.66,0.06
2002,3,27.3,27.21,0.09
2002,4,27.85,27.73,0.12
2002,5,28.24,27.85,0.4
2002,6,28.44,27.65,0.79
2002,7,28.03,27.26,0.77
2002,8,27.72,26.91,0.81
2002,9,27.81,26.8,1.01
2002,10,27.96,26.75,1.2
2002,11,28.16,26.75,1.41
2002,12,27.97,26.65,1.31
2003,1,27.16,26.45,0.7
2003,2,27.4,26.66,0.74
2003,3,27.66,27.21,0.45
2003,4,27.69,27.73,-0.05
2003,5,27.32,27.85,-0.52
2003,6,27.44,27.65,-0.21
2003,7,27.5,27.26,0.24
2003,8,27.11,26.91,0.2
2003,9,26.98,26.8,0.19
2003,10,27.14,26.75,0.38
2003,11,27.04,26.75,0.29
2003,12,27.04,26.65,0.38
2004,1,26.83,26.45,0.38
2004,2,27,26.66,0.34
2004,3,27.41,27.21,0.21
2004,4,27.89,27.73,0.16
2004,5,27.99,27.85,0.14
2004,6,27.85,27.65,0.2
2004,7,27.77,27.26,0.51
2004,8,27.6,26.91,0.7
2004,9,27.52,26.8,0.72
2004,10,27.44,26.75,0.68
2004,11,27.36,26.75,0.61
2004,12,27.34,26.65,0.69
2005,1,27.21,26.45,0.76
2005,2,27.12,26.66,0.46
2005,3,27.74,27.21,0.53
2005,4,28.09,27.73,0.35
2005,5,28.24,27.85,0.39
2005,6,27.77,27.65,0.12
2005,7,27.07,27.26,-0.19
2005,8,26.8,26.91,-0.1
2005,9,26.68,26.8,-0.11
2005,10,26.65,26.75,-0.1
2005,11,26.11,26.75,-0.64
2005,12,25.68,26.65,-0.97
2006,1,25.64,26.55,-0.91
2006,2,26.09,26.76,-0.67
2006,3,26.58,27.29,-0.71
2006,4,27.51,27.83,-0.32
2006,5,27.85,27.94,-0.09
2006,6,27.73,27.73,0
2006,7,27.3,27.29,0.01
2006,8,27.16,26.86,0.31
2006,9,27.32,26.72,0.6
2006,10,27.42,26.72,0.7
2006,11,27.7,26.7,0.99
2006,12,27.74,26.6,1.14
2007,1,27.25,26.55,0.7
2007,2,26.9,26.76,0.13
2007,3,27.12,27.29,-0.18
2007,4,27.51,27.83,-0.31
2007,5,27.46,27.94,-0.47
2007,6,27.37,27.73,-0.36
2007,7,26.7,27.29,-0.59
2007,8,26.13,26.86,-0.72
2007,9,25.61,26.72,-1.11
2007,10,25.33,26.72,-1.39
2007,11,25.17,26.7,-1.53
2007,12,25.02,26.6,-1.58
2008,1,24.87,26.55,-1.68
2008,2,25.1,26.76,-1.66
2008,3,26.09,27.29,-1.21
2008,4,26.84,27.83,-0.99
2008,5,27.09,27.94,-0.84
2008,6,27.04,27.73,-0.68
2008,7,26.99,27.29,-0.3
2008,8,26.72,26.86,-0.13
2008,9,26.47,26.72,-0.25
2008,10,26.37,26.72,-0.35
2008,11,26.25,26.7,-0.46
2008,12,25.74,26.6,-0.86
2009,1,25.67,26.55,-0.89
2009,2,25.97,26.76,-0.79
2009,3,26.6,27.29,-0.7
2009,4,27.48,27.83,-0.35
2009,5,27.99,27.94,0.06
2009,6,28.04,27.73,0.31
2009,7,27.77,27.29,0.48
2009,8,27.42,26.86,0.56
2009,9,27.4,26.72,0.68
2009,10,27.61,26.72,0.89
2009,11,28.15,26.7,1.45
2009,12,28.33,26.6,1.73
2010,1,28.06,26.55,1.51
2010,2,28.01,26.76,1.25
2010,3,28.19,27.29,0.9
2010,4,28.21,27.83,0.38
2010,5,27.72,27.94,-0.22
2010,6,27.04,27.73,-0.69
2010,7,26.22,27.29,-1.07
2010,8,25.47,26.86,-1.38
2010,9,25.12,26.72,-1.59
2010,10,25.03,26.72,-1.69
2010,11,25.06,26.7,-1.64
2010,12,25,26.6,-1.6
2011,1,25.01,26.55,-1.54
2011,2,25.66,26.76,-1.11
2011,3,26.38,27.29,-0.92
2011,4,27.07,27.83,-0.76
2011,5,27.41,27.94,-0.52
2011,6,27.35,27.73,-0.38
2011,7,26.87,27.29,-0.42
2011,8,26.21,26.86,-0.64
2011,9,25.92,26.72,-0.8
2011,10,25.67,26.72,-1.05
2011,11,25.52,26.7,-1.18
2011,12,25.55,26.6,-1.05
2012,1,25.68,26.55,-0.87
2012,2,26.1,26.76,-0.67
2012,3,26.69,27.29,-0.61
2012,4,27.33,27.83,-0.49
2012,5,27.62,27.94,-0.32
2012,6,27.75,27.73,0.02
2012,7,27.54,27.29,0.25
2012,8,27.32,26.86,0.47
2012,9,27.1,26.72,0.38
2012,10,26.98,26.72,0.26
2012,11,26.86,26.7,0.15
2012,12,26.35,26.6,-0.25
2013,1,26.02,26.55,-0.53
2013,2,26.25,26.76,-0.51
2013,3,27.04,27.29,-0.25
2013,4,27.58,27.83,-0.25
2013,5,27.53,27.94,-0.4
2013,6,27.3,27.73,-0.43
2013,7,26.9,27.29,-0.39
2013,8,26.47,26.86,-0.38
2013,9,26.53,26.72,-0.18
2013,10,26.52,26.72,-0.2
2013,11,26.56,26.7,-0.14
2013,12,26.43,26.6,-0.17
2014,1,26.06,26.55,-0.49
2014,2,26.15,26.76,-0.61
2014,3,27.02,27.29,-0.28
2014,4,27.91,27.83,0.09
2014,5,28.26,27.94,0.32
2014,6,27.96,27.73,0.23
2014,7,27.23,27.29,-0.06
2014,8,26.83,26.86,-0.03
2014,9,27.01,26.72,0.29
2014,10,27.16,26.72,0.44
2014,11,27.46,26.7,0.75
2014,12,27.32,26.6,0.72
2015,1,27.06,26.55,0.51
2015,2,27.18,26.76,0.42
2015,3,27.77,27.29,0.47
2015,4,28.53,27.83,0.7
2015,5,28.85,27.94,0.92
2015,6,28.9,27.73,1.17
2015,7,28.75,27.29,1.45
2015,8,28.78,26.86,1.93
2015,9,28.92,26.72,2.2
2015,10,29.07,26.72,2.36
2015,11,29.41,26.7,2.71
2015,12,29.26,26.6,2.65
2016,1,29.11,26.55,2.56
2016,2,29,26.76,2.24
2016,3,28.9,27.29,1.61
2016,4,28.73,27.83,0.9
2016,5,28.24,27.94,0.3
2016,6,27.7,27.73,-0.03
2016,7,26.82,27.29,-0.47
2016,8,26.28,26.86,-0.57
2016,9,26.15,26.72,-0.57
2016,10,25.98,26.72,-0.74
2016,11,25.95,26.7,-0.76
2016,12,26.1,26.6,-0.5
2017,1,26.12,26.55,-0.43
2017,2,26.68,26.76,-0.08
2017,3,27.33,27.29,0.03
2017,4,28.04,27.83,0.21
2017,5,28.3,27.94,0.36
2017,6,28.06,27.73,0.33
2017,7,27.54,27.29,0.25
2017,8,26.7,26.86,-0.16
2017,9,26.29,26.72,-0.43
2017,10,26.15,26.72,-0.56
2017,11,25.74,26.7,-0.96
2017,12,25.62,26.6,-0.99
2018,1,25.57,26.55,-0.98
2018,2,25.98,26.76,-0.78
2018,3,26.5,27.29,-0.8
2018,4,27.32,27.83,-0.51
2018,5,27.74,27.94,-0.2
2018,6,27.77,27.73,0.05
2018,7,27.42,27.29,0.12
2018,8,26.95,26.86,0.09
2018,9,27.19,26.72,0.47
2018,10,27.62,26.72,0.9
2018,11,27.61,26.7,0.9
2018,12,27.49,26.6,0.89
2019,1,27.2,26.55,0.65
2019,2,27.48,26.76,0.71
2019,3,28.1,27.29,0.8
2019,4,28.45,27.83,0.62
2019,5,28.49,27.94,0.55
2019,6,28.18,27.73,0.45
2019,7,27.64,27.29,0.35
2019,8,26.9,26.86,0.04
2019,9,26.75,26.72,0.04
2019,10,27.2,26.72,0.48
2019,11,27.23,26.7,0.52
2019,12,27.12,26.6,0.52
2020,1,27.16,26.55,0.6
2020,2,27.13,26.76,0.37
2020,3,27.77,27.29,0.48
2020,4,28.19,27.83,0.36
2020,5,27.66,27.94,-0.27
2020,6,27.39,27.73,-0.34
2020,7,26.99,27.29,-0.3
2020,8,26.27,26.86,-0.59
2020,9,25.89,26.72,-0.83
2020,10,25.46,26.72,-1.25
2020,11,25.28,26.7,-1.42
2020,12,25.45,26.6,-1.15
